
> idfm-node-backend@1.0.0 map:isochrones:build
> tsx src/transport/isochrones/build-isochrones.ts --all --requests-per-minute 6000 --keep-archives

Walking radar: 30754 origins, 0 cached, 30754 pending, at least 6151 ORS requests.
Catalog/provider/validation changed: rebuilding scopes from verified origin checkpoints. Older caches are kept but not reused.
ORS: 1730/30754 processed; 351 requests; 2 unavailable origins.
ORS: 1735/30754 processed; 352 requests; 2 unavailable origins.
ORS: 1740/30754 processed; 353 requests; 2 unavailable origins.
ORS: 1745/30754 processed; 354 requests; 2 unavailable origins.
ORS: 1750/30754 processed; 355 requests; 2 unavailable origins.
ORS: 1755/30754 processed; 356 requests; 2 unavailable origins.
ORS: 1760/30754 processed; 357 requests; 2 unavailable origins.
ORS: 1765/30754 processed; 358 requests; 2 unavailable origins.
ORS: 1770/30754 processed; 359 requests; 2 unavailable origins.
ORS: 1775/30754 processed; 360 requests; 2 unavailable origins.
ORS: 1780/30754 processed; 361 requests; 2 unavailable origins.
ORS: 1785/30754 processed; 362 requests; 2 unavailable origins.
ORS: 1790/30754 processed; 363 requests; 2 unavailable origins.
ORS: 1795/30754 processed; 364 requests; 2 unavailable origins.
ORS: 1800/30754 processed; 365 requests; 2 unavailable origins.
ORS: 1805/30754 processed; 366 requests; 2 unavailable origins.
ORS: 1810/30754 processed; 367 requests; 2 unavailable origins.
ORS: 1815/30754 processed; 368 requests; 2 unavailable origins.
ORS: 1820/30754 processed; 369 requests; 2 unavailable origins.
ORS: 1825/30754 processed; 370 requests; 2 unavailable origins.
ORS: 1830/30754 processed; 371 requests; 2 unavailable origins.
ORS: 1835/30754 processed; 372 requests; 2 unavailable origins.
ORS: 1840/30754 processed; 373 requests; 2 unavailable origins.
ORS: 1845/30754 processed; 374 requests; 2 unavailable origins.
ORS: 1850/30754 processed; 375 requests; 2 unavailable origins.
ORS: 1855/30754 processed; 376 requests; 2 unavailable origins.
ORS: 1860/30754 processed; 377 requests; 2 unavailable origins.
ORS: 1865/30754 processed; 378 requests; 2 unavailable origins.
ORS: 1870/30754 processed; 379 requests; 2 unavailable origins.
ORS: 1875/30754 processed; 380 requests; 2 unavailable origins.
ORS: 1880/30754 processed; 381 requests; 2 unavailable origins.
ORS: 1885/30754 processed; 382 requests; 2 unavailable origins.
ORS: 1890/30754 processed; 383 requests; 2 unavailable origins.
ORS: 1895/30754 processed; 384 requests; 2 unavailable origins.
ORS: 1900/30754 processed; 385 requests; 2 unavailable origins.
ORS: 1905/30754 processed; 386 requests; 2 unavailable origins.
ORS: 1910/30754 processed; 387 requests; 2 unavailable origins.
ORS: 1915/30754 processed; 388 requests; 2 unavailable origins.
ORS: 1920/30754 processed; 389 requests; 2 unavailable origins.
ORS: 1925/30754 processed; 390 requests; 2 unavailable origins.
ORS: 1930/30754 processed; 391 requests; 2 unavailable origins.
ORS: 1935/30754 processed; 392 requests; 2 unavailable origins.
ORS: 1940/30754 processed; 393 requests; 2 unavailable origins.
ORS: 1945/30754 processed; 394 requests; 2 unavailable origins.
ORS: 1950/30754 processed; 395 requests; 2 unavailable origins.
ORS: 1955/30754 processed; 396 requests; 2 unavailable origins.
ORS: 1960/30754 processed; 397 requests; 2 unavailable origins.
ORS: 1965/30754 processed; 398 requests; 2 unavailable origins.
ORS: 1970/30754 processed; 399 requests; 2 unavailable origins.
ORS: 1975/30754 processed; 400 requests; 2 unavailable origins.
ORS: 1980/30754 processed; 401 requests; 2 unavailable origins.
ORS: 1985/30754 processed; 402 requests; 2 unavailable origins.
ORS: 1990/30754 processed; 403 requests; 2 unavailable origins.
ORS: 1995/30754 processed; 404 requests; 2 unavailable origins.
ORS: 2000/30754 processed; 405 requests; 2 unavailable origins.
ORS: 2005/30754 processed; 406 requests; 2 unavailable origins.
ORS: 2010/30754 processed; 407 requests; 2 unavailable origins.
ORS: 2015/30754 processed; 408 requests; 2 unavailable origins.
ORS: 2020/30754 processed; 409 requests; 2 unavailable origins.
ORS: 2025/30754 processed; 410 requests; 2 unavailable origins.
ORS: 2030/30754 processed; 411 requests; 2 unavailable origins.
ORS: 2035/30754 processed; 412 requests; 2 unavailable origins.
ORS: 2040/30754 processed; 413 requests; 2 unavailable origins.
ORS: 2045/30754 processed; 414 requests; 2 unavailable origins.
ORS: 2050/30754 processed; 415 requests; 2 unavailable origins.
ORS: 2055/30754 processed; 416 requests; 2 unavailable origins.
ORS: 2060/30754 processed; 417 requests; 2 unavailable origins.
ORS: 2065/30754 processed; 418 requests; 2 unavailable origins.
ORS: 2070/30754 processed; 419 requests; 2 unavailable origins.
ORS: 2075/30754 processed; 420 requests; 2 unavailable origins.
ORS: 2080/30754 processed; 421 requests; 2 unavailable origins.
ORS: 2085/30754 processed; 422 requests; 2 unavailable origins.
ORS: 2090/30754 processed; 423 requests; 2 unavailable origins.
ORS: 2095/30754 processed; 424 requests; 2 unavailable origins.
